candidate_id,lipinski_violations,veber_pass,main_risk
CAND_5050cfbe65,2,True,2_lipinski_violations
CAND_6d48ebb348,1,True,1_lipinski_violations
CAND_d5b1a740e8,1,True,1_lipinski_violations
CAND_80338e67a7,1,True,1_lipinski_violations
CAND_f4639706f9,1,True,1_lipinski_violations
CAND_3378c73efc,1,True,1_lipinski_violations
CAND_2dd7910afe,1,True,1_lipinski_violations
CAND_ece88c2a67,2,True,2_lipinski_violations
CAND_55ccb5f60e,2,True,2_lipinski_violations
CAND_b539dc53a4,2,True,2_lipinski_violations
CAND_5f88b1be70,1,True,1_lipinski_violations
CAND_c6a7cafa35,2,True,2_lipinski_violations
CAND_288a2c1fb8,1,True,1_lipinski_violations
CAND_ce6698ad9a,1,True,1_lipinski_violations
CAND_29299358e2,0,True,no_major_descriptor_risk
CAND_ceefce472e,0,True,no_major_descriptor_risk
CAND_20b1ea184e,0,True,no_major_descriptor_risk
CAND_a0bba48ad9,0,True,no_major_descriptor_risk
CAND_ae409387c8,0,True,no_major_descriptor_risk
CAND_823d1a90e2,0,True,no_major_descriptor_risk
CAND_bf388ffe3f,0,True,no_major_descriptor_risk
CAND_0e74c886c6,0,True,no_major_descriptor_risk
CAND_8614b6d775,0,True,no_major_descriptor_risk
CAND_be7cb1e0cc,0,True,no_major_descriptor_risk
CAND_81820b935b,0,True,no_major_descriptor_risk
CAND_80d3ebdafa,0,True,no_major_descriptor_risk
CAND_b5ff93c6da,1,True,1_lipinski_violations
CAND_cb1611d460,1,True,1_lipinski_violations
CAND_fd8917bd02,1,True,1_lipinski_violations
CAND_b7f7813b9a,1,True,1_lipinski_violations
CAND_2840e0e1fa,1,True,1_lipinski_violations
CAND_74b6719a59,1,True,1_lipinski_violations
CAND_ab8cb3c718,1,True,1_lipinski_violations
CAND_094e122289,1,True,1_lipinski_violations
CAND_e8ec122d0b,1,True,1_lipinski_violations
CAND_ebeb4482cf,1,True,1_lipinski_violations
CAND_547916576a,1,True,1_lipinski_violations
CAND_6ba5daeb29,1,True,1_lipinski_violations
CAND_d88a8ec756,0,True,no_major_descriptor_risk
CAND_d2ea444e76,0,True,no_major_descriptor_risk
CAND_6a5aed6525,1,True,1_lipinski_violations
CAND_29ab263df8,1,True,1_lipinski_violations
CAND_7f6ea250e2,2,True,2_lipinski_violations
CAND_9fa63907fb,2,True,2_lipinski_violations
CAND_6bcc03c2f1,2,True,2_lipinski_violations
CAND_5f26f466f5,2,True,2_lipinski_violations
CAND_608fa456bb,1,True,1_lipinski_violations
CAND_d46d5b13b8,1,True,1_lipinski_violations
CAND_56085f5f1e,0,True,no_major_descriptor_risk
CAND_9586681ab2,0,True,no_major_descriptor_risk
CAND_b64d3541be,0,True,no_major_descriptor_risk
CAND_f3b5e5058e,0,True,no_major_descriptor_risk
CAND_d569056250,0,True,no_major_descriptor_risk
CAND_e2969643f5,1,True,1_lipinski_violations
CAND_5ff74952df,0,True,no_major_descriptor_risk
CAND_110b222a50,1,True,1_lipinski_violations
CAND_f47c39f9c8,0,True,no_major_descriptor_risk
CAND_04e8460a71,1,True,1_lipinski_violations
CAND_40da471687,0,True,no_major_descriptor_risk
CAND_2a05561313,0,True,no_major_descriptor_risk
CAND_7c54d1cc37,0,True,no_major_descriptor_risk
CAND_ce1fff0397,1,True,1_lipinski_violations
CAND_2cec525ed0,0,True,no_major_descriptor_risk
CAND_f9189cbe2c,0,True,no_major_descriptor_risk
CAND_242e3be466,0,True,no_major_descriptor_risk
CAND_67ace2dcda,1,True,1_lipinski_violations
CAND_554858444f,0,True,no_major_descriptor_risk
CAND_e329bb8dfc,0,True,no_major_descriptor_risk
CAND_5b8b20f512,0,True,no_major_descriptor_risk
CAND_c07c91d765,1,True,1_lipinski_violations
CAND_9779204efb,1,True,1_lipinski_violations
CAND_7b8280dde9,0,True,no_major_descriptor_risk
CAND_4844c8f363,1,True,1_lipinski_violations
CAND_781a28be34,1,False,1_lipinski_violations;veber_fail
CAND_06f8bbdea1,1,True,1_lipinski_violations
CAND_9ac26af661,1,True,1_lipinski_violations
CAND_f166f269db,1,False,1_lipinski_violations;veber_fail
CAND_8264502fed,1,False,1_lipinski_violations;veber_fail
CAND_a8543b8a5a,1,False,1_lipinski_violations;veber_fail
CAND_ef9808ac97,2,True,2_lipinski_violations
CAND_1fa1be662b,1,False,1_lipinski_violations;veber_fail
CAND_f0ce844187,1,True,1_lipinski_violations
CAND_d5f0cc9e69,1,False,1_lipinski_violations;veber_fail
CAND_84815bebd7,1,False,1_lipinski_violations;veber_fail
CAND_eec21094bd,1,False,1_lipinski_violations;veber_fail
CAND_b02b3ace4e,1,True,1_lipinski_violations
CAND_6bbe90908a,1,True,1_lipinski_violations
CAND_70408d5248,1,True,1_lipinski_violations
CAND_27ddfd0635,1,True,1_lipinski_violations
CAND_456445434b,2,True,2_lipinski_violations
CAND_5870d0f0b5,1,True,1_lipinski_violations
CAND_812d330b78,1,True,1_lipinski_violations
CAND_72f98fd767,1,True,1_lipinski_violations
CAND_7b85a14398,1,True,1_lipinski_violations
CAND_f19782d988,1,True,1_lipinski_violations
CAND_4e8a148392,1,True,1_lipinski_violations
