mol_id,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,num_atoms,num_heavy_atoms,num_rings,max_ring_size,formal_charge,passes_rdkit,passes_basic_filters
JAK2_c7558a5e17,Cc1cccc(Nc2sc(-c3cccc(F)c3F)cc2C(N)=O)n1,345.374,4.2392,68.01,2,4,4,0.7431,24,24,3,6,0,,True
JAK2_af3f2ac33a,Nc1n[nH]c2cc(Br)ccc12,212.05,1.9076,54.7,2,2,0,0.7002,11,11,2,6,0,,False
JAK2_3075d88d24,N[C@H]1CCCC[C@H]1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3cc[nH]c23)n1,389.463,3.2248,124.51,5,6,4,0.3649,29,29,5,6,0,,True
JAK2_da4d3700bb,C[C@H](Nc1nc(Nc2cn(C)cn2)c2ccncc2n1)c1ncc(F)cn1,365.376,2.6041,106.33,2,8,5,0.5558,27,27,4,6,0,,True
JAK2_ea5f279bb0,CCCC(=O)N(C1CC(C)C(C#N)(C#N)C1(C#N)C#N)N(C)C,312.377,1.5672,118.71,0,6,4,0.7267,23,23,1,5,0,,True
JAK2_cd086afbf1,N[C@H]1CCCC[C@H]1Nc1cc2cc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,422.92,4.4832,111.62,5,5,4,0.3326,30,30,5,6,0,,True
JAK2_24c0a54635,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1,501.513,3.162,87.55,2,7,5,0.5555,36,36,5,6,0,,True
JAK2_8bb1f44f4a,CCNC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,382.489,3.1318,80.48,2,6,4,0.7246,27,27,4,6,0,,True
JAK2_171dcf4f6c,COc1ccc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cc1,360.373,3.8467,88.75,2,5,5,0.562,27,27,4,6,0,,True
JAK2_fbddd8d0f0,Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)NC1CCN(C)CC1,424.936,3.5067,99.93,3,5,4,0.5947,30,30,4,6,0,,True
JAK2_2b11517983,C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,358.356,3.062,104.3,3,7,6,0.6219,26,26,4,6,0,,True
JAK2_6c93b9243c,NC(=O)c1cnc(NC2CCCCC2)c2c1[nH]c1cccc(Cl)c12,342.83,4.213,83.8,3,3,3,0.6661,24,24,4,6,0,,True
JAK2_266ae9304d,O=c1[nH]ccc2nc(NCc3ccncc3)c(-c3ccccc3)cc12,328.375,3.5972,70.67,2,4,4,0.6004,25,25,4,6,0,,True
JAK2_91a12e5b93,FC(F)(F)CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,553.629,6.0648,62.75,1,7,5,0.3853,40,40,5,18,0,,True
JAK2_bd9be69539,CCOP(=O)(CCn1cc(-c2ccn3c(-c4ccnc(SC)n4)c(-c4ccc(F)cc4)nc3n2)nn1)OCC,568.575,5.2389,122.21,0,10,11,0.1188,39,39,5,6,0,,True
JAK2_53d90c9291,NC(=O)c1cnc(NC2CCCCC2)c2c1[nH]c1ccccc12,308.385,3.5596,83.8,3,3,3,0.6914,23,23,4,6,0,,True
JAK2_4138d82a33,Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,339.338,2.2256,128.09,3,8,5,0.6453,25,25,3,6,0,,True
JAK2_f61ca4cf43,NC(=O)c1cnn2cccc2c1NC1CCCC1,244.298,1.7877,72.42,2,3,3,0.8641,18,18,3,6,0,,False
JAK2_f1b54aa680,Nc1nn2cccnc2c1-c1cc(N[C@H]2CCc3ccccc32)ncn1,343.394,2.8679,94.02,2,6,3,0.5939,26,26,5,6,0,,True
JAK2_0b104b3e32,C[C@]1(CO)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,288.351,1.3962,92.65,3,4,4,0.7925,21,21,3,6,0,,True
