ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_6d30b04ba5,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_6d30b04ba5.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_6d30b04ba5.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_6e7e0ee6d7,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_6e7e0ee6d7.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_6e7e0ee6d7.pdbqt,44,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_6f5c819abf,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_6f5c819abf.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_6f5c819abf.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_72609efe2c,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_72609efe2c.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_72609efe2c.pdbqt,42,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_76774df791,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_76774df791.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_76774df791.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_79995adf19,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_79995adf19.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_79995adf19.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_7f6895293f,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_7f6895293f.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_7f6895293f.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_7f7760bbec,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_7f7760bbec.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_7f7760bbec.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_7f998a5652,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_7f998a5652.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_7f998a5652.pdbqt,38,12,4,CG->C:2;G0->C:2,cleaned
CAND_826c88beb5,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_826c88beb5.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_826c88beb5.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
